grantee,description,amount,period,initiative,program
New Creation Home Ministries,"New Creation Home Ministries fosters long-term independence for at-risk young mothers through a holistic approach that provides parenting resources, supportive housing, and a loving community. This grant bolsters their mission to end youth homelessness by providing operational support across the organization.","$120,000",2018 - 2020,Community,Bay Area
New Creation Home Ministries,"New Creation Home Ministries fosters long-term independence for at-risk young mothers through a holistic approach that provides parenting resources, supportive housing, and a loving community. This Community Fund grant provides operating support across the four communities the Fund operates in.","$55,000",2018,Community,Bay Area
New Mexico Community Capital,"New Mexico Community Capital (NMCC) instills hope in Native business founders by directly investing in their success with culturally aligned tools and programs that stimulate significant local job creation.**This donation recognizes NMCC as a Finalist in the Communities Thrive Challenge, a collaboration with the Rockefeller Foundation to fund, strengthen, and scale community-based approaches to expanding economic opportunity. CZI disbursed half of the $10,000 donation to NMCC.","$10,000",2018 - 2019,Justice & Opportunity,Economic Opportunity
"New Profit, Inc.","New Profit brings together the catalytic principles of venture capital with deep experience in social impact to drive breakthroughs in social problem-solving. This grant provides general operating support for New Profit to increase investment capital and support for diverse social entrepreneur; develop and leverage diverse philanthropic leaders; build the capacity of organizations to become more inclusive; and expand diversity, equity, and inclusion data collection and analysis throughout the impact sector.","$500,000",2018 - 2019,Education,K-12 Education
New Teacher Center,"The New Teacher Center (NTC) works to improve student learning by accelerating the effectiveness of new teachers, experienced teachers and school leaders. CZI is partnering with NTC to facilitate the second year of a professional learning community for Pre-K and TK educators in Belle Haven and East Palo Alto, as well as coaching support and cross site observations to improve instructional practice.","$95,000",2018,Community,Bay Area
New Venture Fund (Learning Heroes),"Learning Heroes, a project of New Venture Fund, aims to inform and equip K-8 parents so they can best support their children's learning and growth. This grant supports Learning Heroes to conduct research and share findings on parent attitudes towards definitions of student success.","$78,000",2018 - 2019,Education,K-12 Education
New York Genome Center,"This grant supports the development of optimized methods, benchmarks, and best practices to integrate diverse single cell datasets and construct a unified atlas. (PI: Rahul Satija, Human Cell Atlas Computational Tools RFA)","$157,402",2018 - 2019,Science,Human Cell Atlas
New York University Furman Center,"The NYU Furman Center is an interdisciplinary joint center of the New York University School of Law and the Robert F. Wagner Graduate School of Public Service. It is a leading academic research center devoted to the public policy aspects of land use, real estate, and housing development. The Furman Center will build upon the long history of work on rent regulation to evaluate whether and how an efficient and fair rent regulation program could be designed for the challenges facing cities today. In addition, they will build on work they’ve done on the warranty of habitability and tenants’ access to counsel, along with the work of other housing policy centers, to examine the effectiveness of various tenant protections, in order to design tenant protection policies that are effective and cost-efficient.","$426,747",2018 - 2020,Justice & Opportunity,Housing
NewSchools Venture Fund,"NewSchools Venture Fund's mission is to reimagine public education through powerful ideas and passionate entrepreneurs so that all children – especially those in underserved communities – have the opportunity to succeed. This grant supports NewSchools' work to invest in promising teams of educators and entrepreneurs creating innovative schools, developing education technology tools and advancing efforts to increase the number of diverse leaders in education.","$20,000,000",2018 - 2020,Education,K-12 Education
Non-Profit Housing Association of Northern California,"The Non-Profit Housing Association of Northern California (NPH) is a member-based organization of over 750 affordable housing developers, advocates, community leaders, and businesses working to secure resources, educate the public, and support affordable homes as the foundation for thriving individuals, families, and communities. This grant supports NPH's work to increase diversity, equity, and inclusion in the affordable housing field and advance leadership development for low-income communities and people of color by creating a paid internship program for college students of color.","$75,000",2018 - 2019,Justice & Opportunity,Housing
North American Council for Online Learning (iNACOL),"The North American Council for Online Learning aims to drive the transformation of education systems and accelerate the advancement of breakthrough policies and practices to ensure high-quality learning for all. This grant supports knowledge-building among educators and policymakers of how personalized, competency-based learning models can help students succeed in college and careers.","$600,000",2018 - 2019,Education,Public Policy
North Valley Community Foundation,The North Valley Community Foundation provides visionary community leadership by identifying emerging challenges in our region. This  grant supports the organization's disaster relief efforts following the Northern California Campfire.,"$750,000",2018 - 2019,Community,Family Giving
Ohio Safe and Healthy Communities Campaign,"The Ohio Safe and Healthy Communities Campaign is the official campaign committee sponsoring State Issue 1 in Ohio, which appeared on the November 2018 General Election. This is one of two grants made to the campaign to support the passage of State Issue 1.","$1,000,000",2018,Justice & Opportunity,Criminal Justice Reform
Ohio Safe and Healthy Communities Campaign,"The Ohio Safe and Healthy Communities Campaign is the official campaign committee sponsoring State Issue 1 in Ohio, which appeared on the November 2018 General Election. This is one of two grants made to the campaign to support the passage of State Issue 1.","$2,000,000",2018,Justice & Opportunity,Criminal Justice Reform
One East Palo Alto (Multicultural Counseling and Educational Services of the Bay Area),"Multicultural Counseling and Educational Services of the Bay Area, a sponsored project of One East Palo Alto, offers support that affirms and promotes individuals’ and families’ cultural values, inherent worth, and dignity. This Community Fund grant will enable the organization to expand their two-week intensive summer bridging program for freshmen in the Belle Haven and East Palo Alto communities.","$5,000",2018,Community,Bay Area
"Onward Financial, Inc.","Utilizing a mobile-first platform, Onward Financial, a non-profit employer benefit program, helps low-to-moderate income workers save effortlessly, build financial literacy, and access responsible credit when emergencies strike.**Onward is a grantee of Communities Thrive Challenge, a collaboration with the Rockefeller Foundation to fund, strengthen, and scale community-based approaches to expanding economic opportunity. While CZI disbursed the funds to Onward, the grant is joint in spirit.","$1,000,000",2018 - 2020,Justice & Opportunity,Economic Opportunity
Opportunity Insights,"Opportunity Insights is a new research and policy institute based at Harvard University focused on improving economic opportunity for people across the country. Founded by Raj Chetty, John Friedman, and Nathaniel Hendren, the Institute’s research on economic mobility harnesses the power of big data to document both the decline of the American Dream and potential solutions to revive it. CZI's grant enabled the launch of the institute.","$15,000,000",2018 - 2021,Justice & Opportunity,Economic Opportunity
Opportunity Institute,"The Science of Learning and Development Initiative is a collaboration among some of the nation's leading education organizations aimed at making the science of learning and development a key driver of education equity and excellence. This grant supports American Institutes for Research, Education Counsel, Learning Policy Institute, Populace, and Turnaround for Children to create an action plan to promote awareness of and build education programming and infrastructure around the science of learning and development.","$700,000",2018,Education,Learning Science
Pangea Legal Services,"Pangea Legal Services stands with immigrant communities and provides services through direct legal representation, especially in the area of deportation defense. This capacity building grant supports further staff and board professional development.","$10,000",2018 - 2019,Community,Bay Area
Pangea Legal Services,"Pangea Legal Services stands with immigrant communities and provides services through direct legal representation, especially in the area of deportation defense. This Community Fund grant supports their ongoing work in the East Palo Alto and Redwood City communities.","$40,000",2018,Community,Bay Area
Pasadena Independent School District,"Pasadena Independent School District, serving approximately 55,000 students, aims to empower young people to become accomplished, self-directed, collaborative, lifelong learners, who boldly contribute to an increasingly complex and evolving world. This grant enables Pasadena ISD to expand staff capacity for Pasadena Connect, the District's personalized learning program aimed at customizing instruction to meet the needs of individual students.","$400,000",2018 - 2020,Education,K-12 Education
Peer Health Exchange,"Peer Health Exchange aims to empower young people with the knowledge, skills, and resources to make healthy decisions, training college students to teach skills-based health curriculum in under-resourced high schools nationwide. This grant supports Peer Health Exchange to collaborate with experts in adolescent development to demonstrate how to best impact young people's decision-making skills and help-seeking behavior in order to improve their physical health, mental health, and academic outcomes.","$700,000",2018 - 2020,Education,Student Development
Peninsula Family Service,"Peninsula Family Service strengthens the community by providing children, families, and older adults the support and tools to realize their full potential and lead healthy, stable lives. This capacity building grant facilitates leadership development with a focus on diversity, equity, and inclusion.","$10,000",2018 - 2019,Community,Bay Area
Peninsula Family Service,"Peninsula Family Service strengthens the community by providing children, families, and older adults the support and tools to realize their full potential and lead healthy, stable lives. This Community Fund grant provides operational support for the organization's work in the Belle Haven and East Palo Alto communities.","$50,000",2018,Community,Bay Area
Pittsburgh Collaborative Pilot,"The Pittsburgh Collaborative Pilot partners researchers and developers at the University of Pittsburgh and Carnegie Mellon University with practitioners and community members in Pittsburgh Public Schools, Propel Schools, Elizabeth Forward School District, Shaler Area School District, and Remake Learning in an effort focused on improving learning outcomes of Pittsburgh area students. This grant, which is follow-on funding to the collaborative’s planning grant, supports the collaborative to design, test, and improve existing human and digital learning experiences aimed at closing opportunity gaps in middle school math.","$1,500,000",2018 - 2020,Education,Learning Science
Pittsburgh Collaborative Pilot,"The Pittsburgh Collaborative Pilot is intended to partner researchers and developers at the University of Pittsburgh and Carnegie Mellon University with practitioners and community members in Pittsburgh Public Schools, Propel Schools, Elizabeth Forward School District, Shaler Area School District, and Remake Learning in an effort focused on improving learning outcomes of Pittsburgh area students. This grant supports the collaborative in the planning phase of their work identifying an initial shared problem of practice.","$75,000",2018,Education,Learning Science
"Policy Innovators in Education Network, Inc. (PIE Network)",PIE Network aims to connect state-level education advocacy organizations with colleagues nationwide to amplify their voices and maximize their impact in service of a quality education for all students. This grant provides general operating support for PIE Network's programs.,"$300,000",2018 - 2019,Education,Public Policy
Populace,"Populace aims to further the cultural narrative around success to focus on purpose and fulfillment rather than status and power, and to build towards inclusive public systems that respond to meet people's individual needs. This grant provides general operating support for Populace's work.","$3,000,000",2018 - 2020,Education,Student Development
Poverty & Race Research Action Council (PRRAC),"The Poverty & Race Research Action Council (PRRAC) is a civil rights law and policy organization based in Washington, D.C. PRRAC works to promote research-based advocacy strategies to address structural inequality and disrupt the systems that disadvantage low-income people of color. Funding from CZI supports a partnership between PRRAC and the SF-based National Housing Law Project, to work with local CA Public Housing Authorities and advocates to enact strong models for AFFH (Affirmatively Furthering Fair Housing) plans within California jurisdictions. The work is tied to the newly passed California Affirmatively Furthering Fair Housing Act, which seeks to proactively close racial disparities in housing access and outcomes.","$105,300",2018 - 2019,Justice & Opportunity,Housing
President and Fellows of Harvard College (Harvard Medical School),"This grants supports determining whether manipulating the microbiome or engineering a bacterial toxin could treat inflammation, neuronal loss, and disease progression associated to ALS. (PI: Isaac Chiu, Early Career Award)","$2,500,000",2018 - 2023,Science,Neurodegeneration Challenge Network
Princeton University,"This grant supports the development of  a human-in-the-loop system for analysis of Human Cell Atlas data, combining statistically rigorous network algorithms with an interactive web platform for visualization, exploration, and annotation of molecular data. (PI: Benjamin Raphael, Human Cell Atlas Computational Tools RFA)","$219,807",2018 - 2019,Science,Human Cell Atlas
Princeton University,"This grant supports the development of a generative model of single cell RNA-seq data that allows normalization, imputation, and batch correction for the purpose of identifying QTLs across many individuals. (PI:Barbara Engelhardt, Human Cell Atlas Computational Tools RFA)","$165,000",2018 - 2019,Science,Human Cell Atlas
Princeton University,"This grant supports the identification, correlation, and labeling of features that describe where and when a gene is expressed in single cell imaging data without manual supervision. (PI: Barbara Engelhardt, Human Cell Atlas Computational Tools RFA)","$165,000",2018 - 2019,Science,Human Cell Atlas
Prison University Project,"The Prison University Project provides excellent higher education to people in San Quentin State Prison, supports increased access to higher education for incarcerated people in California and across the U.S., and promotes public awareness about higher education and criminal justice. This grant aims to support innovative approaches to providing educational opportunities for people who are currently incarcerated in San Quentin Prison.","$50,000",2018 - 2019,Justice & Opportunity,Criminal Justice Reform
"Project QUEST, Inc.","Project QUEST is a workforce intermediary that provides career opportunities to unemployed, underemployed and under-skilled community residents in order to strengthen the economy and transform lives by preparing individuals for in-demand, living-wage careers. QUEST provides scholarships, financial support and bundled resources to help participants achieve long-term employment and self-sufficiency.**Project Quest is a grantee of Communities Thrive Challenge, a collaboration with the Rockefeller Foundation to fund, strengthen, and scale community-based approaches to expanding economic opportunity. While the Rockefeller Foundation disbursed the funds to Project Quest, the grant is joint in spirit.","$1,000,000",2018 - 2020,Justice & Opportunity,Economic Opportunity
Project WeHOPE,"Project WeHOPE helps people become healthy, employed and housed using innovative solutions. This capacity-building grant from CZI supports the continued planning and engaging of their Fellowship of Faith.","$15,000",2018 - 2019,Community,Bay Area
Project WeHOPE,"Project WeHOPE helps people become healthy, employed and housed using innovative solutions. This Community Fund grant supports their work in the East Palo Alto community.","$100,000",2018,Community,Bay Area
Project WeHOPE,"Project WeHOPE helps people become healthy, employed and housed using innovative solutions. This capacity building grant from CZI allows them to continue to grow and develop their staff and board.","$9,400",2018,Community,Bay Area
PRX Incorporated (Ear Hustle),"Ear Hustle-- an award-winning podcast by Radiotopia from PRX -- brings you the daily realities of life inside prison, shared by those living it, and stories from the outside, post-incarceration. The podcast is a partnership between Nigel Poor, a Bay Area visual artist and Earlonne Woods, formerly incarcerated at San Quentin State Prison, and was co-founded with fellow inmate Antwan Williams. Ear Hustle shows the human side of the criminal justice system and is impacting the way people perceive those affected by incarceration in the US. CZI's continued partnership supports the show's production.","$162,000",2018 - 2020,Justice & Opportunity,Criminal Justice Reform
PTA Hawaii Congress,"The Hawai State PTSA is made up of volunteers dedicated to improving the lives of Hawaii's keiki, and is Hawaii's oldest and largest child advocacy organization. This grant supports the Kilauea School PTSA's music, arts, and STEM/STEAM integration programs.","$20,000",2018 - 2019,Community,Family Giving
Public Rights Project,"Public Rights Project works to empower state and local prosecutors to protect the core rights and freedoms that define us as Americans by providing them with talent and resources to proactively enforce their residents’ legal rights. This grant helps fund the development of civil litigation capacity in prosecutor offices around the country through fellowship programs, training and professional development opportunities for attorneys, and community engagement to ensure prosecutors' enforcement priorities reflect community needs.","$750,000",2018 - 2019,Justice & Opportunity,Criminal Justice Reform
Quill,"Quill.org is a non-profit educational technology organization dedicated to helping low-income 3rd-12th grade students become strong writers. This grant supports Quill.org in the development of new critical thinking tools that use research-based strategies to teach students how to construct claims, use precise evidence, and form logical arguments.","$450,000",2018 - 2020,Education,Learning Science
Ravenswood Education Foundation,The Ravenswood Education Foundation ensures equitable and high-quality educational opportunities for Ravenswood students. This sponsorship supports the Foundation's efforts to combat youth homelessness in San Mateo County through its annual holiday food giveaway.,"$6,000",2018,Community,Bay Area
Rebuilding Together Peninsula,"Rebuilding Together Peninsula repairs homes, revitalizes communities, and rebuilds lives by creating safe homes and communities for everyone. This capacity building grant supports program evaluation as well as staff capacity in order to serve Peninsula residents even better.","$10,000",2018 - 2019,Community,Bay Area
Rebuilding Together Peninsula,"Rebuilding Together Peninsula repairs homes, revitalizes communities, and rebuilds lives by creating safe homes and communities for everyone. This Community Fund grant provides operational support to continue their work in the East Palo Alto community.","$47,400",2018,Community,Bay Area
REDF,"REDF (The Roberts Enterprise Development Fund) is a unique venture philanthropy that invests in social enterprises that employ and empower people overcoming barriers to work. For individuals with histories of incarceration, REDF’s partners provide the paying jobs and services needed for a successful re-entry. This general operating grant will help REDF work toward its goal of helping 50,000 people access jobs and training by 2020 – 70% of whom will be returning to their communities after incarceration.","$1,000,000",2018 - 2019,Justice & Opportunity,Criminal Justice Reform
Redwood City Downtown Business Group,"The Redwood City Downtown Business Group works to promote a successful and vibrant downtown, and this sponsorship supported the annual Hometown Holidays event.","$7,000",2018 - 2019,Community,Bay Area
Redwood City Education Foundation,The Redwood City Education Foundation raises gap funds so all students in the Redwood City school district can thrive.,"$50,000",2018,Community,Bay Area
Redwood City Library Foundation,"The Redwood City Library Foundation works to cultivate literacy, life-long learning, and community connections. This grant provides operating support so the community has continued access to information, knowledge, and technology.","$20,000",2018 - 2019,Community,Bay Area
Redwood City Parks & Arts Foundation,Chalk Full of Fun on the Square is a chalk drawing festival held in Redwood City's main square. CZI was proud to sponsor this event and support local art.,"$10,000",2018,Community,Bay Area
Redwood City Parks & Arts Foundation (Orgullo y Educación (OYE) Latinx Youth Conference),"CZI is proud to sponsor the 8th Annual OYE Latinx Youth Conference. At the conference, Latinx youth ages 12-22 in San Mateo County will explore questions of identity and purpose, and have the opportunity to build meaningful solutions to the community's toughest problems together.","$5,000",2018,Community,Bay Area
Redwood City Parks & Arts Foundation,"The Redwood City Parks and Arts Foundation advocates, advances, and develops support for parks, recreational programming, community services, cultural activities, and the arts in Redwood City and surrounding unincorporated areas. This grant supports community events in Redwood City.","$50,000",2018,Community,Bay Area
Redwood City Police Activities League,The Redwood City Police Activities League (PAL) focuses on providing successful opportunities for underrepresented and underserved communities throughout Redwood City. This grant provides operational support.,"$20,000",2018 - 2019,Community,Bay Area
Redwood City Police Activities League,The Redwood City Police Activities League (PAL) focuses on providing successful opportunities for underrepresented and underserved communities throughout Redwood City. This Community Fund grant provides operational support for PAL in Redwood City.,"$25,350",2018,Community,Bay Area
Redwood City Police Activities League,The Redwood City Police Activities League focuses on providing successful opportunities for underrepresented and underserved communities throughout Redwood City. This grant supported their strategic planning and sustainability initiatives as part of CZI's commitment to capacity building with local partners.,"$7,850",2018 - 2019,Community,Bay Area
Redwood City School District,The Redwood City School District works to educate every child for success. CZI is proud to support their One to One Literacy and Equity Initiative through this grant.,"$1,722,500",2018 - 2020,Community,Bay Area
Redwood City Sequoia Awards inc,The Sequoia Awards offers scholarships to Senior High School students who reside in the Redwood City community who actively volunteer their time. This grant supports scholarship opportunities for local youth.,"$10,000",2018 - 2019,Community,Bay Area
"Regents of the University of California at Berkeley (University of California, Berkeley)","This grant supports the building of computational tools that enable researchers to harness distributed computing to enable machine learning and interactive data exploration across raw single-cell data. (PI: Anthony Joseph, Human Cell Atlas Computational Tools RFA)","$200,000",2018 - 2019,Science,Human Cell Atlas
"Regents of the University of California at San Diego (University of California, San Diego)","This grant supports the development of a notebook-based analysis workspace to enable non-programming investigators to take advantage of the Human Cell Atlas resource and collect cell type expression markers for annotation of cell clusters derived from single-cell RNA-Seq data. (PI:Jill Mesirov, Human Cell Atlas Computational Tools RFA)","$216,753",2018 - 2019,Science,Human Cell Atlas
"Regents of the University of California at San Diego (University of California, San Diego)","This grant supports the development of computation methods and algorithms for integrating single-cell epigenome and transcriptome data sets to classify cell types and their biological regulation. (PI: Eran Mukamel, Human Cell Atlas Computational Tools RFA)","$43,192",2018 - 2019,Science,Human Cell Atlas
"Regents of the University of California at San Diego (University of California, San Diego)","This grant aims to determine the RNA and protein interactomes of endogenously expressed C9orf72 dipeptide repeat species and nuclear pore complex composition in ALS and FTD. (PI: Gene Yeo, Collaborative Science Award)","$1,050,000",2018 - 2021,Science,Neurodegeneration Challenge Network
Regents of the University of Michigan (University of Michigan),"This grant supports the development of statistical methods and computational tools for integrating single cell RNA sequencing data with genome-wide association studies. (PI: Xiang Zhou, Human Cell Atlas Computational Tools RFA)","$205,788",2018 - 2019,Science,Human Cell Atlas
Regents of the University of Michigan (University of Michigan),"This grant supports the development of algorithms based on manifold alignment for integrating different types of single cell measurements. (PI: Joshua Welch, Human Cell Atlas Computational Tools RFA)","$171,000",2018 - 2019,Science,Human Cell Atlas
Regents of the University of Michigan (University of Michigan),"This grant supports the development of a principled suite of software on two methods for marker selection and one on data imputation  or matrix completion in scRNA-seq data. (PI: Anna Gilbert, Human Cell Atlas Computational Tools RFA)","$75,321",2018 - 2019,Science,Human Cell Atlas
Regents of the University of Michigan (University of Michigan),"This grant supports the analysis of single-cell RNA sequence data by using matrix factorization methods to jointly analyze such data along with bulk RNA data. (PI: Clayton Scott, Human Cell Atlas Computational Tools RFA)","$100,523",2018 - 2019,Science,Human Cell Atlas
Regents of the University of Michigan (University of Michigan),"This grant supports the development of computational methods to enable cost-effective multiplexing of single-cell RNA-seq experiment to population scale by harnessing cell-specific expression in addition to genetic variation. (PI: Hyun Min Kang, Human Cell Atlas Computational Tools RFA)","$247,431",2018 - 2019,Science,Human Cell Atlas
"Regents University of California Los Angeles (University of California, Los Angeles)","This grant supports the mapping of the integrated microbial, enteric, metabolic, immune and neuronal signaling networks that underlie microbiota-gut-brain contributions to neuropathological and neurobehavioral features common across neurodegenerative disease. (PI: Elaine Hsiao, Early Career Award)","$2,500,000",2018 - 2023,Science,Neurodegeneration Challenge Network
"Regents University of California Los Angeles (University of California, Los Angeles)","This grant supports providing mechanistic frameworks for the study of neurodegenerative tauopathies by generating unbiased, comprehensive, and validated single-cell data from clinically relevant human brain tissue. (PI: Inma Cobos, Early Career Award)","$2,500,000",2019 - 2024,Science,Neurodegeneration Challenge Network
Repairers of the Breach Inc (Forward Justice & The Formerly Incarcerated Convicted People and Families Movement),"Forward Justice is a nonpartisan law, policy, and strategy center dedicated to advancing racial, social and economic justice in the U.S. South. Forward Justice is also a leading member of the Formerly Incarcerated Convicted People and Families Movement (FICPFM), a national network of over 50 civil and human rights organizations that are led by system impacted people and their family members working together to reform the criminal justice system. This grant supported the FICPFM's national convening in 2018.","$100,000",2018,Justice & Opportunity,Criminal Justice Reform
Results for America,"Results for America helps policymakers at all levels of government harness the power of evidence and data to accelerate progress on our world's greatest challenges. This grant supports a cohort of the organization's State Education Fellows through convenings, peer-to-peer networks, and technical assistance to deepen the use of evidence in education in participating states.","$1,400,000",2018 - 2020,Education,Learning Science
Results in Education Foundation (Education Post),"Education Post is a non-profit communications organization aiming to elevate the voices of parents, kids, and teachers in the movement to provide a quality education to every student in America. This grant supports Education Post's network of bloggers in their efforts advocating for schools that use evidence-based practices to meet the holistic developmental needs of each student.","$750,000",2018 - 2019,Education,Communications
Rosalie Rendu Inc.,"The Rosalie Rendu Center innovates and expands its offerings to fulfill the mission of combating poverty by educating, mentoring and raising the self-esteem of the entire family throughout the East Palo Alto community. This Community Fund grant supports across all four communities the Fund operates in.","$100,000",2018 - 2019,Community,Bay Area
Rose Foundation for Communities and the Environment (The Dellums Institute for Social Justice),"The grant is in support of the Alameda County Fair Chance Housing Coalition, led by the Just Cities/Dellums Institute, to engage in advocacy and policy reform efforts for Fair Chance Housing policies in Alameda County, Oakland, and Berkeley. Access to stable housing is a structural barrier faced by formerly incarcerated residents. Fair Chance Housing policies provide fair access to suitable housing options for residents with criminal records","$185,925",2018 - 2020,Justice & Opportunity,Housing
Rose Foundation for Communities and the Environment (The Dellums Institute for Social Justice),"This funding supplements an earlier grant in support of the efforts by the Alameda County Fair Chance Housing Coalition, led by the Just Cities/Dellums Institute, to enact Fair Chance Housing policies in Alameda County, Oakland, and Berkeley. Access to stable housing is a structural barrier faced by formerly incarcerated residents. Fair Chance Housing policies provide fair access to suitable housing options for residents with criminal records. The supplemental funding supports employment for lead advocacy organizers on the project.","$40,000",2018 - 2020,Justice & Opportunity,Housing
Roses in Concrete,"Roses in Concrete Community School in East Oakland aims to develop youth committed to lives of self-discipline, integrity, love, and hope in the pursuit of justice and equity for all communities. This grant supports the well-being of students and teachers by increasing the school's capacity to respond to socio-cultural trauma and secondary traumatic stress through a partnership with the Teaching Excellence Network.","$685,000",2018 - 2021,Education,Student Development
Roswell Park Alliance Foundation,"This grant supports providing R / Bioconductor software as a coherent programmatic interface to the Human Cell Atlas and to enable scalable interactive statistical analysis of single-cell data. (PI:Martin Morgan, Human Cell Atlas Computational Tools RFA)","$85,000",2018 - 2019,Science,Human Cell Atlas
"Salesmanship Club Youth and Family Centers, Inc. (Momentous Institute)","Momentous Institute works to build and repair social emotional health in children and families who experience toxic stress due to poverty or trauma, directly serving more than 5,500 children and family members annually through mental health and educational programming and the expansion of its reach through training and research for thousands of education and mental health professionals nationally. This grant supports Momentous Institute's work integrating academic supports for students with physical, mental, and social-emotional interventions, and in codifying and sharing their learnings, knowledge, and tools to reach more students. Specifically, the organization's Strategic Intervention Model (SIM) Project will identify targeted support solutions from the intersection of mental health and education to disseminate to other schools and institutions through a publishable SIM Manual and research article.","$50,000",2018 - 2019,Education,Student Development
Samaritan House,Samaritan House mobilizes the resources of the community to help those who are in need. This grant bolsters their mission to end youth homelessness by providing operational support across the organization.,"$300,000",2018 - 2019,Community,Bay Area
San Francisco Foundation (Partnership for the Bay's Future),"This grant supports The San Francisco Foundation's work in creating the Partnership for the Bay's Future, a regional collaboration to create a more accessible, equitable and prosperous Bay Area for residents by addressing the interconnected crises in housing, transportation, and economic opportunity. The Partnership aims to expand and protect housing for up to 175,000 households over the next five years, and preserve and produce more than 8,000 homes in the next five to 10 years.","$250,000",2018 - 2019,Justice & Opportunity,Housing
San Francisco Foundation,"The grant is in support of the HOPE SF initiative, the nation’s first large-scale public housing transformation effort aimed at deconcentrating poverty, reducing social isolation, and creating vibrant mixed-income communities without mass displacement.","$269,352",2018 - 2019,Justice & Opportunity,Housing
"San Francisco Foundation (Partnership for the Bay's Future, Policy Fund)","To seed the Policy Fund — a component of the Partnership for the Bay's Future — a regional collaboration to create a more accessible, equitable and prosperous Bay Area for residents by addressing the interconnected crises in housing, transportation, and economic opportunity. The Policy Fund will enable Bay Area jurisdictions to act forcefully on housing issues by protecting tenants and stemming the tide of displacement, and by producing and preserving affordable, mixed and middle-income housing.","$10,000,000",2018 - 2023,Justice & Opportunity,Housing
San Mateo County Historical Association,The San Mateo County Historical Association proudly runs the San Mateo County History Museum. This grant supports their free admission day where they share local history with the community.,"$10,000",2018 - 2019,Community,Bay Area
School of Medicine - Johns Hopkins University (Johns Hopkins University),"This grant supports the development of methods for the analysis of individual genetic variation and its effects on gene expression at the single cell level, considering heterogeneity of genetic effects both within and between cell types. (PI: Alexis Battle, Human Cell Atlas Computational Tools RFA)","$131,617",2018 - 2019,Science,Human Cell Atlas
School of Medicine - Johns Hopkins University (Johns Hopkins University),"This grant supports providing R / Bioconductor software as a coherent programmatic interface to the HCA and to enable scalable interactive statistical analysis of single-cell data. (PI: Kasper Hansen, Human Cell Atlas Computational Tools RFA)","$45,000",2018 - 2019,Science,Human Cell Atlas
School of Medicine - Johns Hopkins University (Johns Hopkins University),"This grant supports the modification of CoGAPS to a parallel framework for efficiency and to input the underlying estimates of transcript abundance, transcriptional variance, and sparsity characteristic of single-cell RNA-sequencing data. (PI: Elana Fertig, Human Cell Atlas Computational Tools RFA)","$249,275",2018 - 2019,Science,Human Cell Atlas
School of Medicine - Johns Hopkins University (Johns Hopkins University),"This grant supports developing and benchmarking rapid transfer learning methods to interrogate biological and technical basis vectors across experiments at the scale of the human cell atlas. (PI: Loyal Goff, Human Cell Atlas Computational Tools RFA)","$250,000",2018 - 2019,Science,Human Cell Atlas
Schools and Communities First,"The grant supports the California Schools and Local Communities Funding Act, which will restore over $11 billion per year to California’s schools, community colleges, health clinics, and other vital local services.","$300,000",2018,Justice & Opportunity,Housing
Seattle Foundation (Funders of Adolescent Science Translation),"The Adolescent Science Translation Fund aims to advance the synthesis and translation of science on how adolescents develop into policy, practice, and systems. This grant supports the work of the Adolescent Science Translation Fund.","$300,000",2018 - 2021,Education,Student Development
Sequoia Union High School District,Sequoia Union High School District (SUHSD) works to engage and prepare all students to excel in a global society. CZI is proud to partner with SUHSD to identify the most at-risk students in 8th grade and support them throughout their 9th and 10th grade years with a case manager or Aspiration Advocate at two SUHSD high schools.,"$200,000",2018 - 2019,Community,Bay Area
"Services, Immigrant Rights and Education Network","SIREN works to empower low-income immigrants and refugees through community education and organizing, leadership development, policy advocacy, civic engagement and legal services. This Community Fund grant provides operational support for their work across the four communities the Fund operates in.","$50,000",2018,Community,Bay Area
Silicon Valley Community Foundation,Silicon Valley Community Foundation commissioned a study to examine entitlement process in cities across California to compare and contrast differences. The study is being conducted by faculty from UC Berkeley and Columbia and will take place over two years. It will provide the first set of comprehensive case studies of entitled projects in nearly two decades.,"$300,000",2018 - 2020,Justice & Opportunity,Housing
Silicon Valley Community Foundation (Belle Haven Community Development Fund),"The Belle Haven Community Development Fun (BHCDF), a fiscally sponsored project of the Silicon Valley Community Foundation, works to engage the Belle Haven Community in advocating for common goals and broker resources to foster sustainable community development. This capacity building grant will support board development.","$2,000",2018 - 2019,Community,Bay Area
Silicon Valley Community Foundation  (Belle Haven Community Development Fund),"The Belle Haven Community Development Fun (BHCDF), a fiscally sponsored project of the Silicon Valley Community Foundation, works to engage the Belle Haven Community in advocating for common goals and broker resources to foster sustainable community development. This Community Fund grant will expand their work in Belle Haven","$100,000",2018,Community,Bay Area
Solidago Foundation (Quest for Democracy Fund & The Formerly Incarcerated Convicted People and Families Movement),"The Criminal Justice Initiative, anchored at the Solidago Foundation, is partnering with the Formerly Incarcerated Convicted People and Families Movement (FICPFM) to launch a ""Quest for Democracy"" Grant Program. With funding from CZI, 22 organizations run by formerly incarcerated people will receive grants to engage in criminal justice reform.","$200,000",2018 - 2019,Justice & Opportunity,Criminal Justice Reform
